Title,Author,Year,Why_Chosen,Type,Domain,Lenses,Source_URL,Priority,Status,Notes
The Kybalion,Three Initiates,1908,Foundational hermetic principles - Seven Universal Laws. Short (70 pages) and accessible for new users. Bridges occult and philosophical perspectives perfectly.,book_esoteric,hermeticism,"symbolic_occult,philosophical,historical_anthropological",https://www.sacred-texts.com/eso/kyb/index.htm,1,Uploaded,
On the Origin of Species,Charles Darwin,1859,Most influential scientific text of modern era. Essential for scientific lens. Shows how empirical observation reveals truth. Readable and culturally significant.,book_science,evolution,"scientific,historical_anthropological",https://www.gutenberg.org/ebooks/1228,1,Uploaded,
The Interpretation of Dreams,Sigmund Freud,1900,Birth of depth psychology. Essential for psychological lens. Shows how unconscious shapes reality. Historical milestone that changed how we see the mind.,book_psychology,psychoanalysis,"psychological,scientific",https://www.gutenberg.org/ebooks/56657,1,Uploaded,
Meditations,Marcus Aurelius,180,Most accessible ancient philosophy. Written by Roman Emperor as personal journal. Timeless wisdom on virtue and resilience. Perfect beginner text.,book_philosophical,stoicism,"philosophical,psychological",https://www.gutenberg.org/ebooks/2680,1,Uploaded,
The Bhagavad Gita,Vyasa,500BCE,"Central Hindu scripture. Shows convergence of duty, devotion, and wisdom. Essential for religious/spiritual lens. Influences billions globally.",book_spiritual,hinduism,"religious_spiritual,philosophical,historical_anthropological",https://www.gutenberg.org/ebooks/2388,1,Uploaded,
The Elements Book I,Euclid,300BCE,Foundation of Western mathematics. Shows logical reasoning and universal patterns. Essential for mathematical lens. Influenced 2000+ years of thought.,reference_table,geometry,"mathematical,philosophical",https://www.gutenberg.org/ebooks/21076,1,Uploaded,
The Golden Bough,James George Frazer,1890,Groundbreaking comparative religion study. Shows ritual patterns across cultures. Essential for historical/anthropological lens. Reveals human universals.,anthropology,comparative_religion,"historical_anthropological,religious_spiritual",https://www.gutenberg.org/ebooks/3623,1,Uploaded,
The Tao Te Ching,Lao Tzu,600BCE,Most translated text after the Bible. 81 short verses of profound wisdom. Shows Eastern spiritual/philosophical convergence. Beautiful and accessible.,book_spiritual,taoism,"religious_spiritual,philosophical,symbolic_occult",https://www.gutenberg.org/ebooks/216,1,Uploaded,
The Republic,Plato,380BCE,Western philosophy's foundation. Introduces Theory of Forms and ideal society. Essential for philosophical lens. Influences all subsequent Western thought.,book_philosophical,political_philosophy,"philosophical,historical_anthropological",https://www.gutenberg.org/ebooks/1497,1,Uploaded,
The Secret Teachings of All Ages,Manly P. Hall,1928,"Encyclopedia of esoteric wisdom. Covers symbolism, alchemy, Qabalah, astrology in one volume. Visual diagrams included. Shows breadth of occult knowledge.",book_esoteric,mystery_traditions,"symbolic_occult,philosophical,historical_anthropological",https://www.sacred-texts.com/eso/sta/index.htm,1,Uploaded,
Thus Spoke Zarathustra,Friedrich Nietzsche,1883,"Poetic philosophy masterpiece. Introduces Übermensch and eternal return. Bridges philosophy, psychology, and spirituality. Culturally influential and readable.",book_philosophical,existentialism,"philosophical,psychological,religious_spiritual",https://www.gutenberg.org/ebooks/1998,1,Uploaded,
The Varieties of Religious Experience,William James,1902,Psychology meets religion. Scientific study of mystical experiences. Bridges scientific and spiritual lenses perfectly. Validates spiritual experience empirically.,book_psychology,religious_psychology,"psychological,religious_spiritual,philosophical",https://www.gutenberg.org/ebooks/621,1,Uploaded,
The Emerald Tablet,Hermes Trismegistus,150CE,"'As above, so below' - most famous occult phrase. Foundation of Western alchemy. Only one page but infinitely interpreted. Essential symbolic text.",book_esoteric,hermeticism,"symbolic_occult,philosophical,historical_anthropological",https://www.sacred-texts.com/alc/emerald.htm,1,Uploaded,
Cosmic Consciousness,Richard Maurice Bucke,1901,Documents mystical enlightenment experiences. Case studies of illuminated individuals. Bridges psychology and spirituality. Shows consciousness evolution.,book_psychology,consciousness,"psychological,religious_spiritual,philosophical",https://www.gutenberg.org/ebooks/8819,1,Uploaded,
The Confessions,St. Augustine,397,First autobiography in Western literature. Profound spiritual conversion narrative. Shows inner psychological struggle. Influences Christian mysticism profoundly.,book_spiritual,christianity,"religious_spiritual,philosophical,psychological",https://www.gutenberg.org/ebooks/3296,1,Uploaded,
The Upanishads,Various Sages,800BCE,Hindu philosophical core texts. 'Thou art That' - reveals unity of self and cosmos. Essential Eastern wisdom. Influenced Schopenhauer and countless others.,book_spiritual,hinduism,"religious_spiritual,philosophical,psychological",https://www.gutenberg.org/ebooks/3283,1,Uploaded,
Isis Unveiled Volume 1,Helena Blavatsky,1877,Launched modern occult revival. Synthesizes Eastern and Western esotericism. Massive influence on New Age thought. Shows cross-tradition synthesis.,book_esoteric,theosophy,"symbolic_occult,philosophical,religious_spiritual,historical_anthropological",https://www.sacred-texts.com/the/iu/index.htm,1,Uploaded,
The Principles of Psychology Vol 1,William James,1890,Founded American psychology. Introduces stream of consciousness concept. Scientific yet philosophical. Shows rigorous psychological thinking.,book_psychology,psychology,"psychological,scientific,philosophical",https://www.gutenberg.org/ebooks/57628,1,Uploaded,
Relativity: The Special and General Theory,Albert Einstein,1920,Einstein explains relativity to general public. Revolutionary physics made accessible. Shows science at highest level. Includes philosophical implications.,book_science,physics,"scientific,philosophical,mathematical",https://www.gutenberg.org/ebooks/5001,1,Uploaded,
The Book of the Sacred Magic of Abramelin,Abraham of Worms,1458,Medieval grimoire with detailed magical system. Influences modern ceremonial magic. Shows practical occult tradition. Structured and systematic approach.,ritual_guide,ceremonial_magic,"symbolic_occult,religious_spiritual",https://www.sacred-texts.com/grim/abr/index.htm,1,Uploaded,
Transcendental Magic,Éliphas Lévi,1856,Revived Western occultism in 19th century. Systematic magical theory. Coined term 'occultism.' Influenced Golden Dawn and all modern magic.,book_esoteric,ceremonial_magic,"symbolic_occult,philosophical",https://www.sacred-texts.com/eso/tm/index.htm,2,Uploaded,
The Descent of Man,Charles Darwin,1871,Applies evolution to humans specifically. Includes sexual selection theory. More philosophical than Origin. Shows human place in nature.,book_science,evolution,"scientific,historical_anthropological,philosophical",https://www.gutenberg.org/ebooks/2300,2,Uploaded,
Psychology of the Unconscious,Carl Jung,1912,Jung breaks from Freud - introduces collective unconscious. Bridges psychology and mythology. Essential for understanding archetypes. Foundational depth psychology.,book_psychology,depth_psychology,"psychological,philosophical,symbolic_occult",https://www.gutenberg.org/ebooks/47942,2,Uploaded,
The Chemical Wedding of Christian Rosenkreutz,Johann Valentin Andreae,1616,Rosicrucian manifesto in allegorical form. Alchemical spiritual transformation narrative. Rich symbolism. Influenced Western esotericism profoundly.,book_esoteric,rosicrucianism,"symbolic_occult,philosophical,religious_spiritual",https://www.sacred-texts.com/sro/rhr/index.htm,2,Uploaded,
Beyond Good and Evil,Friedrich Nietzsche,1886,Nietzsche's mature philosophy. Aphoristic style - highly quotable. Challenges all moral assumptions. Essential modern philosophy.,book_philosophical,existentialism,"philosophical,psychological",https://www.gutenberg.org/ebooks/4363,2,Uploaded,
The Dhammapada,Buddha,500BCE,"Buddha's teachings in verse form. Short, accessible, profound. Essential Buddhist text. Shows path to liberation from suffering.",book_spiritual,buddhism,"religious_spiritual,philosophical,psychological",https://www.gutenberg.org/ebooks/2017,2,Uploaded,
Sepher Yetzirah,Rabbi Akiba ben Joseph,200CE,Oldest Qabalistic text. Hebrew letters and numbers create reality. Mathematical mysticism. Foundation of Jewish mystical tradition.,book_esoteric,qabalah,"symbolic_occult,philosophical,mathematical",https://www.sacred-texts.com/jud/yetzirah.htm,2,Uploaded,
The Voyage of the Beagle,Charles Darwin,1839,Darwin's travel journal - origin of his theories. Shows scientific observation process. Engaging narrative style. Reveals how insights emerge.,book_science,natural_history,"scientific,historical_anthropological",https://www.gutenberg.org/ebooks/944,2,Uploaded,
The Enneads,Plotinus,270,Bridge between Greek philosophy and Christian mysticism. Influenced all Western mysticism. Shows philosophical approach to divine reality.,book_philosophical,neoplatonism,"philosophical,religious_spiritual",https://www.gutenberg.org/ebooks/55317,2,Uploaded,
The Analects,Confucius,500BCE,Confucius' sayings - shaped East Asian civilization. Practical wisdom for ethical living. Shows philosophy as way of life.,book_philosophical,confucianism,"philosophical,historical_anthropological,religious_spiritual",https://www.gutenberg.org/ebooks/3330,2,Uploaded,
The Kabbalah Unveiled,S.L. MacGregor Mathers,1887,Golden Dawn founder translates Zohar. Made Qabalah accessible to Westerners. Systematic presentation. Essential for understanding Western occultism.,book_esoteric,qabalah,"symbolic_occult,philosophical,religious_spiritual",https://www.sacred-texts.com/jud/tku/index.htm,2,Uploaded,
Tetrabiblos,Claudius Ptolemy,150,Classical astrology's foundation text. 2000 years of influence. Mathematical and systematic. Shows astrology's intellectual rigor.,reference_table,astrology,"symbolic_occult,mathematical,scientific",https://www.sacred-texts.com/astro/ptb/index.htm,2,Uploaded,
The Ego and the Id,Sigmund Freud,1923,"Freud's structural model - id, ego, superego. Essential psychoanalytic theory. Short and foundational. Influenced all psychology after.",book_psychology,psychoanalysis,"psychological,philosophical",https://www.gutenberg.org/ebooks/52694,2,Not Found,
The World as Will and Representation,Arthur Schopenhauer,1818,"Will as fundamental reality. Pessimistic but profound. Influenced Nietzsche, Freud, Jung. Bridges Eastern and Western philosophy.",book_philosophical,idealism,"philosophical,psychological",https://www.gutenberg.org/ebooks/40097,2,Uploaded,
Myths and Legends of Ancient Greece and Rome,E.M. Berens,1880,Comprehensive mythology reference. Well-organized and readable. Essential for understanding Western symbolic references. Shows archetypal patterns.,mythology,greco_roman,"historical_anthropological,symbolic_occult,religious_spiritual",https://www.gutenberg.org/ebooks/22381,2,Uploaded,
The Pictorial Key to the Tarot,Arthur Edward Waite,1910,Explains Rider-Waite tarot - most used deck today. Includes card images. Practical and symbolic. Essential for tarot understanding.,book_esoteric,tarot,"symbolic_occult,psychological",https://www.sacred-texts.com/tarot/pkt/index.htm,2,Uploaded,
Harmonices Mundi Book V,Johannes Kepler,1619,"Kepler's 'Music of the Spheres.' Planetary orbits as harmonic ratios. Bridges science, math, and mysticism. Shows mathematical beauty.",book_science,astronomy,"mathematical,scientific,philosophical,symbolic_occult",https://archive.org/details/ioanniskeplerisah00kepl,2,Uploaded,
"The Life of St. Teresa of Jesus, of the Order of Our Lady of Carmel",St. Teresa of Ávila,1565,"A cornerstone of Christian mystical literature.
This autobiography offers a profound, first-hand account of spiritual development and mystical experience, while also providing historical insight into the Carmelite Reform. It strongly supports the psychological, spiritual, and historical lenses.",book_spiritual,christian_mysticism,"religious_spiritual,psychological,historical_anthropological",https://www.sacred-texts.com/chr/teresa/lsa/index.htm,2,Uploaded,
The Interior Castle,Teresa of Ávila,1577,Christian mystical masterpiece. Seven mansions of inner spiritual journey. Profound psychological insight. Practical mysticism.,book_spiritual,mysticism,"religious_spiritual,psychological",https://www.gutenberg.org/ebooks/8120,2,Uploaded,
Self-Reliance and Other Essays,Ralph Waldo Emerson,1844,American transcendentalist manifesto. 'Trust thyself' - empowering philosophy. Accessible and inspiring. Influenced American spiritual thought.,book_philosophical,transcendentalism,"philosophical,religious_spiritual",https://www.gutenberg.org/ebooks/16643,2,queued,
The Art of War,Sun Tzu,500BCE,"Ancient Chinese military strategy. Applied to business, life, spirituality. Short, practical, profound. Shows philosophy in action.",book_philosophical,strategy,"philosophical,historical_anthropological",https://www.gutenberg.org/ebooks/132,2,Uploaded,
I Ching,Anonymous,1000BCE,Chinese divination and wisdom text. 64 hexagrams - life situations. Philosophical and practical. Influenced Leibniz and Jung.,book_esoteric,divination,"symbolic_occult,philosophical,religious_spiritual",https://www.sacred-texts.com/ich/index.htm,2,Uploaded,
The Hermetic Museum Volume 1,Arthur Edward Waite,1893,Collection of alchemical treatises. Historical and symbolic. Shows Western alchemical tradition. Rich in symbolism and metaphor.,book_esoteric,alchemy,"symbolic_occult,philosophical,historical_anthropological",https://www.sacred-texts.com/alc/hm1/index.htm,2,Uploaded,
The Tarot of the Bohemians,Papus,1889,French occultist's tarot system. Connects tarot to Qabalah and astrology. Systematic correspondence system. Influenced occult revival.,book_esoteric,tarot,"symbolic_occult,philosophical",https://www.sacred-texts.com/tarot/tob/index.htm,2,Uploaded,
Magic White and Black,Franz Hartmann,1888,Theosophical perspective on magic. Ethical framework for occult practice. Clear writing. Distinguishes spiritual from selfish magic.,book_esoteric,occultism,"symbolic_occult,philosophical,religious_spiritual",https://www.sacred-texts.com/eso/mwb/index.htm,2,Needs Digitizing,
Christian Astrology,William Lilly,1647,Classic horary astrology text. Practical prediction methods. Historical document showing astrology's role. Detailed and systematic.,book_esoteric,astrology,"symbolic_occult,historical_anthropological",https://www.sacred-texts.com/astro/ca/index.htm,2,Uploaded,Volumes I and II
The Symposium,Plato,385BCE,Plato's dialogue on love (Eros). Beautiful literary form. Introduces concept of platonic love. Philosophy as living conversation.,book_philosophical,ethics,"philosophical,psychological",https://www.gutenberg.org/ebooks/1600,2,Uploaded,
The Discourses,Epictetus,108,Stoic slave-philosopher's teachings. Practical wisdom for daily life. Focus on what you can control. Accessible ancient wisdom.,book_philosophical,stoicism,"philosophical,psychological",https://www.gutenberg.org/ebooks/871,2,queued,
Ethics,Baruch Spinoza,1677,God as nature - pantheistic philosophy. Mathematical format. Influenced Einstein. Bridges philosophy and mysticism.,book_philosophical,rationalism,"philosophical,religious_spiritual",https://www.gutenberg.org/ebooks/3800,2,Uploaded,
The Problems of Philosophy,Bertrand Russell,1912,Clear introduction to philosophy. Analytical approach. Shows philosophical rigor. Accessible to beginners.,book_philosophical,epistemology,"philosophical,scientific",https://www.gutenberg.org/ebooks/5827,2,Uploaded,
The Secret Doctrine Volume 1,Helena Blavatsky,1888,Theosophical cosmology and anthropology. Massive synthesis of Eastern and Western esotericism. Comprehensive esoteric worldview.,book_esoteric,theosophy,"symbolic_occult,philosophical,religious_spiritual",https://www.sacred-texts.com/the/sd/index.htm,2,Uploaded,
